Date,Date,Close
2010-01-04,2010-01-04,313.68
2010-01-05,2010-01-05,312.3
2010-01-06,2010-01-06,304.43
2010-01-07,2010-01-07,297.34
2010-01-08,2010-01-08,301.3
2010-01-11,2010-01-11,300.85
2010-01-12,2010-01-12,295.53
2010-01-13,2010-01-13,293.83
2010-01-14,2010-01-14,295.21
2010-01-15,2010-01-15,290.28
2010-01-19,2010-01-19,294.09
2010-01-20,2010-01-20,290.49
2010-01-21,2010-01-21,291.77
2010-01-22,2010-01-22,275.27
2010-01-25,2010-01-25,270.26
2010-01-26,2010-01-26,271.47
2010-01-27,2010-01-27,271.31
2010-01-28,2010-01-28,267.4
2010-01-29,2010-01-29,265.23
2010-02-01,2010-02-01,266.77
2010-02-02,2010-02-02,265.82
2010-02-03,2010-02-03,270.67
2010-02-04,2010-02-04,263.64
2010-02-05,2010-02-05,265.9
2010-02-08,2010-02-08,266.99
2010-02-09,2010-02-09,268.48
2010-02-10,2010-02-10,267.48
2010-02-11,2010-02-11,268.46
2010-02-12,2010-02-12,266.82
2010-02-16,2010-02-16,270.91
2010-02-17,2010-02-17,269.36
2010-02-18,2010-02-18,271.87
2010-02-19,2010-02-19,270.64
2010-02-22,2010-02-22,271.66
2010-02-23,2010-02-23,267.79
2010-02-24,2010-02-24,265.99
2010-02-25,2010-02-25,263.47
2010-02-26,2010-02-26,263.66
2010-03-01,2010-03-01,266.6
2010-03-02,2010-03-02,270.79
2010-03-03,2010-03-03,272.92
2010-03-04,2010-03-04,277.56
2010-03-05,2010-03-05,282.38
2010-03-08,2010-03-08,281.51
2010-03-09,2010-03-09,280.37
2010-03-10,2010-03-10,288.5
2010-03-11,2010-03-11,290.85
2010-03-12,2010-03-12,290.05
2010-03-15,2010-03-15,281.86
2010-03-16,2010-03-16,282.87
2010-03-17,2010-03-17,283.05
2010-03-18,2010-03-18,283.47
2010-03-19,2010-03-19,280.27
2010-03-22,2010-03-22,279.02
2010-03-23,2010-03-23,274.77
2010-03-24,2010-03-24,278.94
2010-03-25,2010-03-25,281.71
2010-03-26,2010-03-26,281.62
2010-03-29,2010-03-29,281.5
2010-03-30,2010-03-30,283.63
2010-03-31,2010-03-31,283.84
2010-04-01,2010-04-01,284.68
2010-04-05,2010-04-05,285.78
2010-04-06,2010-04-06,284.39
2010-04-07,2010-04-07,282.04
2010-04-08,2010-04-08,284.02
2010-04-09,2010-04-09,283.38
2010-04-12,2010-04-12,286.64
2010-04-13,2010-04-13,293.67
2010-04-14,2010-04-14,294.79
2010-04-15,2010-04-15,297.94
2010-04-16,2010-04-16,275.34
2010-04-19,2010-04-19,275.32
2010-04-20,2010-04-20,277.79
2010-04-21,2010-04-21,277.42
2010-04-22,2010-04-22,273.8
2010-04-23,2010-04-23,272.76
2010-04-26,2010-04-26,266.08
2010-04-27,2010-04-27,264.79
2010-04-28,2010-04-28,264.85
2010-04-29,2010-04-29,266.26
2010-04-30,2010-04-30,263.1
2010-05-03,2010-05-03,265.56
2010-05-04,2010-05-04,253.43
2010-05-05,2010-05-05,255.13
2010-05-06,2010-05-06,249.58
2010-05-07,2010-05-07,246.81
2010-05-10,2010-05-10,261.08
2010-05-11,2010-05-11,254.77
2010-05-12,2010-05-12,252.94
2010-05-13,2010-05-13,255.69
2010-05-14,2010-05-14,254.01
2010-05-17,2010-05-17,254.23
2010-05-18,2010-05-18,249.43
2010-05-19,2010-05-19,247.45
2010-05-20,2010-05-20,237.74
2010-05-21,2010-05-21,236.25
2010-05-24,2010-05-24,238.81
2010-05-25,2010-05-25,238.77
2010-05-26,2010-05-26,237.97
2010-05-27,2010-05-27,245.47
2010-05-28,2010-05-28,243.05
2010-06-01,2010-06-01,241.42
2010-06-02,2010-06-02,246.92
2010-06-03,2010-06-03,253.05
2010-06-04,2010-06-04,249.6
2010-06-07,2010-06-07,243.0
2010-06-08,2010-06-08,242.63
2010-06-09,2010-06-09,237.24
2010-06-10,2010-06-10,243.74
2010-06-11,2010-06-11,244.49
2010-06-14,2010-06-14,241.83
2010-06-15,2010-06-15,249.24
2010-06-16,2010-06-16,250.88
2010-06-17,2010-06-17,250.28
2010-06-18,2010-06-18,250.26
2010-06-21,2010-06-21,244.52
2010-06-22,2010-06-22,243.36
2010-06-23,2010-06-23,241.26
2010-06-24,2010-06-24,237.78
2010-06-25,2010-06-25,236.57
2010-06-28,2010-06-28,236.27
2010-06-29,2010-06-29,227.35
2010-06-30,2010-06-30,222.69
2010-07-01,2010-07-01,219.96
2010-07-02,2010-07-02,218.49
2010-07-06,2010-07-06,218.25
2010-07-07,2010-07-07,225.32
2010-07-08,2010-07-08,228.5
2010-07-09,2010-07-09,233.97
2010-07-12,2010-07-12,238.15
2010-07-13,2010-07-13,244.84
2010-07-14,2010-07-14,245.91
2010-07-15,2010-07-15,247.25
2010-07-16,2010-07-16,230.03
2010-07-19,2010-07-19,233.32
2010-07-20,2010-07-20,241.03
